prefecture,org_name,firestore_count,source_sites,eqnet_only,has_non_eqnet,registry_key,registry_match_mode,parser_type,official_page_status,official_page_url,page_http_status,query_status,query_candidate_count,observed_count,observed_note,count_diff,count_judgement,priority,priority_reason,network_status
岩手県,東京大学,4,(empty),True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
岩手県,岩手大学 研究支援・産学連携センター 研究基盤管理・機器分析部門 分子構造解析室,5,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
熊本県,熊本大学 大学院自然科学研究科 物質生命化学専攻,1,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
熊本県,熊本大学 大学院自然科学研究科 物質生命化学専攻 松本研究室,1,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
熊本県,熊本大学 大学院自然科学研究科 物質生命化学専攻 高藤研究室,1,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
熊本県,熊本大学 大学院自然科学研究科 物質生命化学専攻 学科共通機器,4,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
石川県,金沢大学 理工研究域,1,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
石川県,金沢大学 理工研究域 環境デザイン学系 極限環境研究室,1,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
石川県,金沢大学 理工研究域 物質化学系化学コース,2,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
福井県,福井大学 産学官連携本部,9,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
群馬県,群馬大学 大学院理工学府,2,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
長野県,信州大学 基盤研究支援センター,1,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
長野県,信州大学 理学部,1,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
香川県,香川大学 創造工学部 材料物質科学,1,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
香川県,香川大学 創造工学部 材料物質科学 石井研究室,1,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
香川県,香川大学 農学部,1,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
香川県,香川大学 農学部 遺伝子実験施設,1,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
香川県,香川大学 創造工学部 6号館 1F 分析室1,2,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
香川県,香川大学 医学部 医学科 医学部 研究基盤センター 機器共用デジタルラボ,2,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
