doc_id,equipment_id,name,org_name,eqnet_equipment_id,status,before_general,before_detail,new_general,new_detail,category_changed,fallback
CHfCCdd17k06ISEndXDm,HOKUDAI-AP-100345,Arイオン研磨装置,北海道大学,,fallback,微細加工・表面加工装置 (Microfabrication & Surface Processing Equipment),その他の微細加工・表面加工装置 (Other Microfabrication & Surface Processing System),その他,微細加工・表面加工装置 (Microfabrication & Surface Processing Equipment) / その他の微細加工・表面加工装置 (Other Microfabrication & Surface Processing System),True,True
CIRs761X6nm84zvRDdQX,TOHOKU-965,[965]X線CT 日立アロカ Latheta LCT200,東北大学,,fallback,バイオ関連,X線CT,その他,バイオ関連 / X線CT,True,True
CIZDEN36p6tw0ezYkR7u,RYUKYU-475,【医機セ】発光測定装置,琉球大学 医学部 附属実験実習機器センター,,fallback,生命科学機器,,その他,生命科学機器,True,True
CJp0cVkxHGnB8Haay3la,CJp0cVkxHGnB8Haay3la,低真空走査電子顕微鏡(Quanta250),鹿児島大学 先端科学研究推進センター 機器分析部門,,fallback,機器分析部門,理工系総合研究棟6F,その他,機器分析部門 / 理工系総合研究棟6F,True,True
CJxahEKAlpNSA0zel5bs,CJxahEKAlpNSA0zel5bs,電子スピン共鳴装置,新潟大学 共用設備基盤センター,803,matched,"磁気共鳴分析 (NMR, ESRなど)",ESR,構造解析/元素分析,電子スピン共鳴装置(ESR),True,False
CJzM56bG6VUA3BpyGdVE,KYUSHU-silicone,シリコン検出器製造装置,九州大学 工学研究院部局管理装置,,fallback,,,その他,未分類,True,True
CNNhX7jXOTKk0OQ5xGgW,CNNhX7jXOTKk0OQ5xGgW,UV-Vis-NIR 分光光度計,九州大学 中央分析センター(伊都地区),,fallback,,,その他,未分類,True,True
CNnsoKHhURc1qdutlSaU,OSAKA-571,X線光電子分光分析装置 PHI 5000 VersaProbe III XPS,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,,fallback,表面分析,XPS,その他,表面分析 / XPS,True,True
CQl0C7TkbTQsi5boYhwX,TSUKUBA-259,フローサイトメーター LSRFortessa X-20 Flow Cytometer,筑波大学 オープンファシリティー推進機構,,fallback,生体物質解析装置,,その他,生体物質解析装置,True,True
CSMlL6svPmjuHGHwCj7m,KYUSHU-jem-arm200cf,放射性物質対応型強磁性材料ナノクラスター評価システム (JEM-ARM200CF),九州大学 中央分析センター(伊都地区),,fallback,,,その他,未分類,True,True
CTSquBWH1Vt2yj9TEYTI,NAGASAKI-6,キャリースコープ(簡易SEM),長崎大学,,fallback,先端物質科学研究ユニット共用システム,形態観察,その他,先端物質科学研究ユニット共用システム / 形態観察,True,True
CTVp9oRjNKpccF05dxNu,TOHOKU-243,[243]超高真空CVD装置〔リンク〕,東北大学,,fallback,加工・処理,微細加工・デバイス作製・評価,その他,加工・処理 / 微細加工・デバイス作製・評価,True,True
CUILs4Ce0yYgofzpwjIq,HOKUDAI-AP-902054,シーケンスシステム,北海道大学,,fallback,バイオ関連分析装置_HU (Bio-related Analytical Equipment),None,その他,バイオ関連分析装置_HU (Bio-related Analytical Equipment) / None,True,True
CUr3hhr2l6tpRmec2JtR,OSAKA-589,集束イオンビーム(FIB)ナノ加工顕微鏡装置,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,,fallback,加工装置,,その他,加工装置,True,True
CV5ennH72h6MwxB79Zy0,OSAKA-651,スリム型薬用保冷庫(毒劇物保管用)(4°C: 218 L),大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,,fallback,その他,,その他,その他,True,True
