doc_id,name,org_name,category_general,category_detail,papers_count
cCHwRPZSem87WkeKzIfl,1500t鍛造シミュレータ,物質・材料研究機構 NIMS Open Facility,加工・作製,塑性加工,3
NwkHQEFywrHQrQuWv5Bp,15面マルチディスプレイAVシステム PN-V701×15 (PC: BOXX APEXX W4/NVIDIA Quadro RTX4000),東京大学,研究設備,,3
DgVXXYqm3xzRF5sqJN1i,1852138JA S1000 WITH 384WELL,北海道大学,その他_HU (Others),None,3
veFXlRqduj6kWRZ36wSe,18T汎用超伝導マグネット装置,物質・材料研究機構 NIMS Open Facility,分析・計測,強磁場計測,3
GeS0IMrUMDiCgyhBibUc,18ton小型スウェージングマシーン,物質・材料研究機構 NIMS Open Facility,加工・作製,塑性加工,2
YANjNIPCjNVwuVMuXv3L,1MVタンデトロン加速器,筑波大学 オープンファシリティー推進機構,専用測定装置,,3
JjAPdoA3qKERncC5JztO,200kV透過電子顕微鏡 （200kV TEM）,奈良先端科学技術大学院大学 マテリアル先端リサーチインフラ事業,電子顕微鏡,,3
Wqht8el3cLzCaEAPf3ri,200ｋV熱電子放出型透過型電子顕微鏡,電気通信大学 研究設備センター 基盤研究設備部門,基盤研究設備部門,,3
3gygYTDWJdqXuMOB6BSt,200ｋV電界放出型透過型電子顕微鏡,電気通信大学 研究設備センター 基盤研究設備部門,基盤研究設備部門,,3
6CkEqgiTIYOYniOomBvZ,20KN疲労試験機,東京工業大学,その他,大型実験設備 / -,3
7dRKsL6bWy4V3U1vsh3s,2100バイオアナライザーDNA専用,新潟大学 脳研究所,DNA関連分析,,3
MOEiCTAx2hPKtaApJWAL,2100バイオアナライザーRNA専用,新潟大学 脳研究所,DNA関連分析,,3
e2uflAhjuaEHVpGQIeh3,2470 Wizard2 550サンプル 5検出器システム,北海道大学,専用測定装置_HU (Specialized Measurement Equipment),None,3
tikonmNiKgvvbksE8dkv,2480Wizard2 システム,北海道大学,専用測定装置_HU (Specialized Measurement Equipment),None,3
OHw3NU718WahzMUDSf2h,25MHｚ3次元レーザードップラー振動計,産業技術総合研究所,,,3
kUkNMVBdKQbXAh0VRA2m,25t加工熱処理シミュレータ,物質・材料研究機構 NIMS Open Facility,加工・作製,塑性加工,3
0lNnz4Bb98SntDjciG8d,2次元迅速測定X線回折装置(湾曲IP) (Micro Area X-Ray Diffractometer),大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,電子・X線回析,,3
lJMnDLAIDw3THDboh8oq,2波長Pilatus低温単結晶X線回折装置_NSC,物質・材料研究機構 NIMS Open Facility,分析・計測,,3
4rFlNSui7qs4YJ5JvEAY,3.0T/Φ70-8chアレイコイル,北海道大学,周辺設備_HU (Peripheral Equipment),None,3
Uy5mXiCI8FKenVJUNEtZ,300MHz NMR測定装置,北海道大学,磁気共鳴装置 (Magnetic Resonance Equipment),核磁気共鳴装置(NMR) (Nuclear Magnetic Resonance (NMR) Spectrometer),3
gnRuHOoRbl2LNaE0UD96,300MHz 核磁気共鳴装置,東京農工大学 学術研究支援総合センター 機器分析施設,機器分析施設,,3
