doc_id,doi,source,status,error
0h0mfLLss0GODeCYcGRh,10.1038/s41598-025-28860-3,openalex,ready,
0iwisV8a1eBT1pWeX0jD,10.1038/s41528-025-00506-4,openalex,ready,
0iwisV8a1eBT1pWeX0jD,10.1007/s44217-025-01024-1,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0iwisV8a1eBT1pWeX0jD,10.1038/s41598-025-30443-1,crossref,ready,
0j2rviuJEmSBpssX8KC7,10.31893/multiscience.2026418,openalex,ready,
0j2rviuJEmSBpssX8KC7,10.1016/j.cnsns.2026.109745,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0j2rviuJEmSBpssX8KC7,10.1016/j.enmm.2025.101116,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0jYW9aNpzyBm2ctRcvLL,10.31643/2027/6445.10,openalex,ready,
0jYW9aNpzyBm2ctRcvLL,10.1080/19490976.2025.2601430,openalex,ready,
0jYW9aNpzyBm2ctRcvLL,10.1080/17441692.2025.2612452,openalex,ready,
0lNnz4Bb98SntDjciG8d,10.1186/s44147-025-00847-x,crossref,ready,
0lNnz4Bb98SntDjciG8d,10.1038/s41598-025-31317-2,openalex,ready,
0lNnz4Bb98SntDjciG8d,10.22036/pcr.2025.540201.2722,fallback,fallback,elsevier_abstract_missing | openalex_not_found | crossref_not_found
0lOsnJNDqMqf1JLyLvUg,10.1038/s41378-025-01114-y,openalex,ready,
0lOsnJNDqMqf1JLyLvUg,10.1038/s41378-025-01111-1,openalex,ready,
0lOsnJNDqMqf1JLyLvUg,10.1038/s41378-025-01047-6,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0lcLwMuStZ676K1Mzp9p,10.12957/redp.2026.90910,fallback,fallback,elsevier_abstract_missing | openalex_not_found | crossref_not_found
0lcLwMuStZ676K1Mzp9p,10.19139/soic-2310-5070-3032,openalex,ready,
0lcLwMuStZ676K1Mzp9p,10.31127/tuje.1804146,openalex,ready,
0m7cF5YafLKdgxBf4uJF,10.1016/j.ntm.2025.100110,openalex,ready,
0m7cF5YafLKdgxBf4uJF,10.1016/j.bioelechem.2025.109179,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0m7cF5YafLKdgxBf4uJF,10.1016/j.talanta.2026.129355,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0mZKmsP29XBp872vSW0n,10.31643/2027/6445.07,openalex,ready,
0mZKmsP29XBp872vSW0n,10.1080/19490976.2025.2601430,openalex,ready,
0mZKmsP29XBp872vSW0n,10.1080/15384047.2025.2603095,openalex,ready,
0miTJVFmg2BrSZH2ZrAe,10.31643/2027/6445.07,openalex,ready,
0miTJVFmg2BrSZH2ZrAe,10.1007/s10143-025-04016-9,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0miTJVFmg2BrSZH2ZrAe,10.1038/s41467-025-67413-0,openalex,ready,
