eqnet_equipment_id,large_category_id,large_category_name,category_id,category_name_raw,category_small_name,equipment_count_hint,source_total,candidate_count,has_conflict
345,39,構造解析/元素分析,41,ICP発光分析装置 (27 台),ICP発光分析装置,27,27,1,False
346,10,核磁気共鳴装置(NMR),16,400MHz NMR装置 (50 台),400MHz NMR装置,50,50,1,False
347,157,電子顕微鏡および関連機器,158,"走査型プローブ顕微鏡 (SPM, STM, AFM) (57 台)","走査型プローブ顕微鏡 (SPM, STM, AFM)",57,57,1,False
352,50,専用測定装置,61,表面粗さ・表面形状測定器 (15 台),表面粗さ・表面形状測定器,15,15,1,False
355,39,構造解析/元素分析,45,元素分析関連製品 (47 台),元素分析関連製品,47,47,1,False
356,10,核磁気共鳴装置(NMR),16,400MHz NMR装置 (50 台),400MHz NMR装置,50,50,1,False
364,26,光分析装置,29,"光電子分光装置 (XPS, UPS, ESCA, PYS) (17 台)","光電子分光装置 (XPS, UPS, ESCA, PYS)",17,17,1,False
365,26,光分析装置,32,旋光分散計・円ニ色性分散計 (20 台),旋光分散計・円ニ色性分散計,20,20,1,False
369,26,光分析装置,32,旋光分散計・円ニ色性分散計 (20 台),旋光分散計・円ニ色性分散計,20,20,1,False
370,26,光分析装置,28,蛍光分光装置(FL) (26 台),蛍光分光装置(FL),26,26,1,False
371,130,質量分析装置(MS),131,二重収束型MS (17 台),二重収束型MS,17,17,1,False
373,10,核磁気共鳴装置(NMR),17,400MHz 固体NMR装置 (9 台),400MHz 固体NMR装置,9,9,1,False
374,10,核磁気共鳴装置(NMR),16,400MHz NMR装置 (50 台),400MHz NMR装置,50,50,1,False
375,50,専用測定装置,55,レーザー (8 台),レーザー,8,8,1,False
383,10,核磁気共鳴装置(NMR),15,300MHz 固体NMR装置 (4 台),300MHz 固体NMR装置,4,4,1,False
384,157,電子顕微鏡および関連機器,163,透過型電子顕微鏡 (TEM) (83 台),透過型電子顕微鏡 (TEM),83,83,1,False
385,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
386,157,電子顕微鏡および関連機器,158,"走査型プローブ顕微鏡 (SPM, STM, AFM) (57 台)","走査型プローブ顕微鏡 (SPM, STM, AFM)",57,57,1,False
