registry_key,org_name,prefecture,parser_type,source_handler,url,fetched_raw_count,normalized_count,fetch_status,action_hint,diagnosis,would_create,would_update
hamamatsu_med,浜松医科大学,静岡県,source_handler,hamamatsu_med,https://www.hama-med.ac.jp/research/equipment.html,0,0,"error:HTTPSConnectionPool(host='www.hama-med.ac.jp', port=443): Max retries exceeded with url: /research/equipment.html (Caused by NameResolutionError(""HTTPSConnection(host='www.hama-med.ac.jp', port=443): Failed to resolve 'www.hama-med.ac.jp' ([Errno 8] nodename nor servname provided, or not known)""))",verify_url,"HTTPSConnectionPool(host='www.hama-med.ac.jp', port=443): Max retries exceeded with url: /research/equipment.html (Caused by NameResolutionError(""HTTPSConnection(host='www.hama-med.ac.jp', port=443): Failed to resolve 'www.hama-med.ac.jp' ([Errno 8] nodename nor servname provided, or not known)""))",,
yamagata_u,山形大学,山形県,source_handler,yamagata_u,https://arim.yz.yamagata-u.ac.jp/equip.html,0,0,"error:HTTPSConnectionPool(host='arim.yz.yamagata-u.ac.jp', port=443): Max retries exceeded with url: /equip.html (Caused by NameResolutionError(""HTTPSConnection(host='arim.yz.yamagata-u.ac.jp', port=443): Failed to resolve 'arim.yz.yamagata-u.ac.jp' ([Errno 8] nodename nor servname provided, or not known)""))",verify_url,"HTTPSConnectionPool(host='arim.yz.yamagata-u.ac.jp', port=443): Max retries exceeded with url: /equip.html (Caused by NameResolutionError(""HTTPSConnection(host='arim.yz.yamagata-u.ac.jp', port=443): Failed to resolve 'arim.yz.yamagata-u.ac.jp' ([Errno 8] nodename nor servname provided, or not known)""))",,
nara_wu,奈良女子大学,奈良県,source_handler,nara_wu,https://www.chem.nara-wu.ac.jp/chemguide/equipment.html,0,0,"error:HTTPSConnectionPool(host='www.chem.nara-wu.ac.jp', port=443): Max retries exceeded with url: /chemguide/equipment.html (Caused by NameResolutionError(""HTTPSConnection(host='www.chem.nara-wu.ac.jp', port=443): Failed to resolve 'www.chem.nara-wu.ac.jp' ([Errno 8] nodename nor servname provided, or not known)""))",verify_url,"HTTPSConnectionPool(host='www.chem.nara-wu.ac.jp', port=443): Max retries exceeded with url: /chemguide/equipment.html (Caused by NameResolutionError(""HTTPSConnection(host='www.chem.nara-wu.ac.jp', port=443): Failed to resolve 'www.chem.nara-wu.ac.jp' ([Errno 8] nodename nor servname provided, or not known)""))",,
