seq,doc_id,name,org_name,category_general,category_detail,papers_count
3971,uzESR9a7HZM908zaTtaH,超純水・純水製造装置システム,北海道大学,周辺設備_HU (Peripheral Equipment),None,3
3972,AcTKBMOILzfaeuBLFxRy,超純水・純水製造装置（Milli-Q Integral 3）,群馬大学 コアファシリティ総合センター エンジニアリング分野,,,3
3973,Ckc3LjFlcTiUzB1dS2jO,超純水純水装置,北海道大学,周辺設備_HU (Peripheral Equipment),None,3
3974,2aLQ9HkIcmvsoPKFjJff,超純水製造システム Milli-Q Reference A+ S.Kit(JP),北海道大学,周辺設備_HU (Peripheral Equipment),None,3
3975,J1fWf24o7gvbok5gYJCk,超純水製造装置,東京工業大学,半導体・MEMS加工,- / -,3
3976,hQf96mkpyWZ1yRqyCR0o,超純水製造装置,北海道大学,周辺設備_HU (Peripheral Equipment),None,3
3977,5aLFNd3z8RcehNGdNfuf,超純水製造装置Simplicity UV,新潟大学 日本酒学センター,その他,超純水装置,3
3978,76BwMRtXPpj1bblwbIEX,超純水製造装置（MilliQ）,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,その他,,3
3979,UQi6PbQz6R4p99FlM7Sn,超薄膜評価装置,北海道大学,顕微鏡(電子) (Electron Microscopes),走査型透過電子顕微鏡(STEM) (Scanning Transmission Electron Microscope (STEM)),3
3980,FrF9GiCXOy8fy6WvA6or,超解像イメージスキャニング共焦点顕微鏡,北海道大学,顕微鏡(光学) (Optical Microscopes),レーザー顕微鏡 (Laser Microscope),3
3981,x7IqZTiMVhn4Uy0rN4qL,超解像共焦点レーザー顕微鏡システム AX w/ NSPARC,東京医科歯科大学,研究設備,,3
3982,zKgFn0GWa6rrPXLzrEYV,超解像顕微鏡,北海道大学,顕微鏡(光学) (Optical Microscopes),レーザー顕微鏡 (Laser Microscope),3
3983,ni1V18sHqTstJiTjmUJQ,超解像顕微鏡 Elyra S.1,筑波大学 オープンファシリティー推進機構,生体物質解析装置,,3
3984,MGSV2tlQJASmCfIHQscv,超遠心分離機,北海道大学,前処理装置 (Sample Preparation Equipment),超遠心分離機 (Ultracentrifuge),3
3985,MlkQippFcJw7R20CkNbn,超遠心分離機 CP80WX,新潟大学 農学部,遠心分離機,,3
3986,GZ10bvoZpODd5s5i96b8,超遠心機,北海道大学,前処理装置_HU (Sample Preparation Equipment),None,3
3987,NowzcPXQsuQP47Hg7Hzg,超遠心機 CP 80b,新潟大学 医学科研究推進センター,遠心分離機,超遠心機,3
3988,4If9wlo8WeEb0DCC2phN,超遠心機 HITACHI himac CP 90NX,新潟大学 医学科研究推進センター,遠心分離機,,3
3989,83TjDTgZOkRFnOslNOY6,超遠心機 Optima L-80,東京大学,研究設備,,3
3990,K1Fb5bHpgcnk2dQGw9U7,超遠心機 himac CP100WX (HITACHI),愛媛大学 学術支援センター 遺伝子解析研究支援部門,主要機器,,3
3991,Uws7Nd0FITQFhBuZ6UX3,超遠心機 －型式： himac CP100WX,愛媛大学 学術支援センター 応用タンパク質研究支援部門,2Fに設置されている機器,,3
3992,rtYZdmqVRspJjsmDkqGg,超電導核磁気共鳴装置500MHz,長崎大学,設備共同利用部門,分光分析,3
3993,0p0ihLLBgk8fiGBZyFpz,超音波パルス・レシーバー,北海道大学,専用測定装置_HU (Specialized Measurement Equipment),None,3
3994,0vrDi9jEZKNdFgrfbiKu,超音波ホモジナイザ,北海道大学,バイオ関連分析装置_HU (Bio-related Analytical Equipment),None,3
3995,0F6f7oGV9k4DoEom22Uy,超音波ホモジナイザー,北海道大学,微細加工・表面加工装置_HU (Microfabrication & Surface Processing Equipment),None,3
3996,IZwECvMPetljzYFpGKQS,超音波ホモジナイザー,北海道大学,前処理装置_HU (Sample Preparation Equipment),None,3
3997,eCcdP7CAxsh55D327lxJ,超音波ホモジナイザー,新潟大学 医学科研究推進センター,生体試料分析 (DNA関連分析を除く),,3
3998,DwgLl8BIZlxOv4AGUtap,超音波ホモジナイザーUD-201,東京医科歯科大学,研究設備,,3
3999,TaOnG3l7KepUdygxt5Rh,超音波画像診断装置,北海道大学,バイオ関連分析装置_HU (Bio-related Analytical Equipment),None,3
4000,ezNx3B1x0LU1Hg5AGCPh,超音波発生器,北海道大学,その他_HU (Others),None,3
4001,GLcjahOYdUXA1kKPr3Ky,超音波発生機 トミー精工UD-201,東京工業大学,その他,- / -,3
4002,CEmwq6Y4y8AFRnjVugwt,超音波破砕機,北海道大学,前処理装置_HU (Sample Preparation Equipment),None,3
4003,abqrIOkKbCJTvd6PV2Ac,超音波試料破砕装置UD-211,新潟大学 脳研究所,生体試料分析 (DNA関連分析を除く),,3
4004,yerF9mGOc3rlBLrLyxbp,超音波高性能DNA断片化装置,北海道大学,前処理装置 (Sample Preparation Equipment),その他の前処理装置 (Other Sample Preparation Equipment),3
4005,dKwtUSEuBhGA0IgrL7PA,超高分解能フーリエ変換型質量分析システム Exactive Plus,京都大学 工学部・大学院工学研究科,化学系 MS室,,3
4006,JD9gTqacGBLVKWrYTvNY,超高分解能分析走査型電子顕微鏡,鹿児島大学 先端科学研究推進センター 機器分析部門,機器分析部門,理工系総合研究棟６Ｆ,3
4007,SAkaca9XUXbkOeysM10k,超高分解能核磁気共鳴装置 (JNM-ECA600),広島大学 自然科学研究支援開発センター 機器共用・分析部門,核磁気共鳴装置(NMR),,3
4008,LccOm7wV7rDHVWYdflLR,超高分解能核磁気共鳴装置 (JNM-LA500),広島大学 自然科学研究支援開発センター 機器共用・分析部門,核磁気共鳴装置(NMR),,3
4009,A5edsJfiTqOy9s5UruWw,超高分解能質量イメージングシステム,北海道大学,質量分析装置 (Mass Spectrometer),液体クロマトグラフ質量分析装置(LC-MS) (Liquid Chromatograph-Mass Spectrometer (LC-MS)),3
4010,qkRqqhaCIPESyBYJtAuu,超高分解能走査型電子顕微鏡,北海道大学,顕微鏡(電子) (Electron Microscopes),走査型電子顕微鏡(SEM) (Scanning Electron Microscope (SEM)),3
4011,HWRqKAMqXdgHw8IEIgwj,超高分解能走査電子顕微鏡,九州大学 中央分析センター(筑紫地区),,,3
4012,cFDgmzqhLFds8mCTTaXl,超高分解能走査電子顕微鏡,九州大学 工学研究院部局管理装置,,,3
4013,cbsOSt5fqDXDbHIEgZAL,超高分解能走査電子顕微鏡,九州大学 中央分析センター部局管理装置(筑紫地区),,,3
4014,lol2KCLaV1N7yAIBqB0u,超高分解能走査電子顕微鏡,九州大学 中央分析センター(伊都地区),,,3
4015,m5rwBcWAzmHDu1pDyp3s,超高分解能透過型電子顕微鏡 JEM-ARM200F(thermal FE),東京大学,研究設備,,3
4016,nhrBngY07RSV8lhPtR3a,超高分解能電界放出型走査電子顕微鏡(SU8000),九州大学 中央分析センター(伊都地区),,,3
4017,ohl5CuoS0WXxYWEgWtbr,超高分解能電界放出型走査電子顕微鏡装置 (S-5200),広島大学 自然科学研究支援開発センター 機器共用・分析部門,電子顕微鏡(EM) (関連機器も含む),,3
4018,iRlgkz1A6YMMpstRpWUv,超高分解能電界放出型電子顕微鏡 （FE-SEM）,奈良先端科学技術大学院大学 マテリアル先端リサーチインフラ事業,電子顕微鏡,,3
