seq,doc_id,name,org_name,category_general,category_detail,papers_count
1,gF5dwkcwd2ina1Jk7dbu,3次元カラープリントセット POLYGONALmeister Editor academic+ダヴィンチColor 3FC1XXJPZNG,北海道大学,その他_HU (Others),None,3
2,7xdbGiBo9cejdpbj5xCo,3次元動作分析システム エントリーパッケージ,北海道大学,その他_HU (Others),None,3
3,YKHE3wZtzUItU7kEnCO7,3次元電界放出形走査電子顕微鏡（エリオニクス）,産業技術総合研究所,観察・計測・分析,,3
4,pkcOwsmiDfFPcxsEYZsc,3軸テスラメータ,北海道大学,専用測定装置_HU (Specialized Measurement Equipment),None,3
5,Gv4Mg9DuJNg2aCeWcFrg,3軸電磁流速センサー 実験室用,北海道大学,専用測定装置_HU (Specialized Measurement Equipment),None,3
6,BvzD4DexkVHj2peMC0df,400 MHz 核磁気共鳴装置 (NMR),北海道大学,磁気共鳴装置_HU (Magnetic Resonance Equipment),None,3
7,1xq3sXBHvNyNzpsW3hQt,400MHz NMR Spectrometer,沖縄科学技術大学院大学 Instrumental Analysis Section,NMR Spectroscopy,,3
8,HiTw7nWEPkqXPWYpB2Ut,400MHz NMR装置,岡山大学 自然生命科学研究支援センター 分析計測・極低温部門 分析計測分野,分析計測分野,化学系,3
9,4lXD0orJFeZGgwm7v65X,400MHz NMR装置 (北),岡山大学 自然生命科学研究支援センター 分析計測・極低温部門 分析計測分野,分析計測分野,核磁気共鳴装置,3
10,cRS03Juk7CDWOJ6GSgCn,400MHz NMR装置 (南),岡山大学 自然生命科学研究支援センター 分析計測・極低温部門 分析計測分野,分析計測分野,核磁気共鳴装置,3
11,G1kOQJjsT5B25IAhXlJK,400MHz 核磁気共鳴装置,東京農工大学 学術研究支援総合センター 機器分析施設,機器分析施設,,3
12,PneywFrmXklGDD7PyflA,400MHz 核磁気共鳴装置,茨城大学 研究設備共用センター,日立地区,,3
13,NHLaaPEydCkeCJnVqNe0,400MHz 核磁気共鳴装置（NMR-400）,宇都宮大学 研究推進機構 機器分析センター,機器分析センター 管理・運用設備,磁気共鳴分析装置群,3
14,PsC6xs3LHMxae5uBkZiJ,400MHz 溶液NMR,物質・材料研究機構 NIMS Open Facility,分析・計測,強磁場計測,3
15,406hTn9an7xHflPGS0nC,400MHz核磁気共鳴装置,東京工業大学,分析,電磁気分析装置 / 磁気共鳴装置（ＮＭＲ）,3
16,FKJH26dohbrcjnGbSklE,400MHz核磁気共鳴装置 (バリアン 400MR),広島大学 自然科学研究支援開発センター 機器共用・分析部門,核磁気共鳴装置(NMR),,3
17,mghDktEQsZxIiUc25V1X,400MHz核磁気共鳴装置（Bruker）,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,核磁気共鳴(NMR),,3
18,YfbRKAqTrnsCYHxvOk2c,400MHz核磁気共鳴装置（JEOL)①,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,核磁気共鳴(NMR),,3
19,1pdd02OXQZ2cTdjj8AGH,4CH燃焼解析ユニット,北海道大学,専用測定装置_HU (Specialized Measurement Equipment),None,3
20,ATV35QZJ4PBedchcjwB3,4D-Nucleofectorシステム（レンタル専用機器）(2014015),帯広畜産大学 産学連携センター 共同利用設備ステーション,共同利用設備ステーション,細胞解析,3
21,HKENdrx8BER42Am1ELWx,4Kビデオカメラ ﾊﾟﾅｿﾆｯｸVX992M,新潟大学 農学部,その他,ビデオカメラ,3
22,qHRGLqQrTthZctYyALVY,4chマルチJOB FFTアナライザ,北海道大学,物性測定装置_HU (Physical Property Measurement Equipment),None,3
23,wNrtjssN8PyAFrrTVKlz,500 MHz 核磁気共鳴装置（1H-15N-13C三重共鳴プローブ付） UnityINOVA 500,東京大学,研究設備,,3
24,1dSXz2kL4aJH5D3QdUEV,500MHz NMR,奈良先端科学技術大学院大学 マテリアル先端リサーチインフラ事業,核磁気共鳴・電子スピン共鳴,,3
25,ReKobpoSNBSWa5UMxqgV,500MHz NMR Spectrometer,沖縄科学技術大学院大学 Instrumental Analysis Section,NMR Spectroscopy,,3
26,ZBRzA5KPh5D0PJoNW2jg,500MHz NMR測定装置(cancer)(液体試料専用),北海道大学,磁気共鳴装置 (Magnetic Resonance Equipment),核磁気共鳴装置(NMR) (Nuclear Magnetic Resonance (NMR) Spectrometer),3
27,4bSH1T8yd49xNaTWHwvX,500MHz 核磁気共鳴装置,東京農工大学 学術研究支援総合センター 機器分析施設,機器分析施設,,3
28,PNAKogASeYnTqKLWCMZD,500MHz 核磁気共鳴装置,茨城大学 研究設備共用センター,水戸地区,,3
29,RhUhC5MvYjbgqoT9YS0w,500MHz 核磁気共鳴装置（NMR-500）,宇都宮大学 研究推進機構 機器分析センター,機器分析センター 管理・運用設備,磁気共鳴分析装置群,3
30,n9gDoXdJeyhNslIsdyf4,500MHz固体汎用NMRシステム,物質・材料研究機構 NIMS Open Facility,分析・計測,強磁場計測,3
31,HaUd5hXNzPr6PNAO74F8,500MHz固体高分解能NMRシステム,物質・材料研究機構 NIMS Open Facility,分析・計測,強磁場計測,3
32,f0Rwsio3ZSOVtqAhX0wI,500MHz核磁気共鳴装置 (Bruker Avance III HD500),広島大学 自然科学研究支援開発センター 機器共用・分析部門,核磁気共鳴装置(NMR),,3
33,Xk5uVLweYvC08GxzL9cd,500MHz核磁気共鳴装置 (バリアン system500),広島大学 自然科学研究支援開発センター 機器共用・分析部門,核磁気共鳴装置(NMR),,3
34,T7GstGlDjDjkanfpw9jW,500MHz核磁気共鳴装置：(500M-NMR),九州工業大学 機器分析センター,機器分析センター,,3
35,TEYKXbIF6Ln60kikPDR9,5kg高周波誘導真空溶解設備,物質・材料研究機構 NIMS Open Facility,加工・作製,素材作製,3
36,PvyQYlm39ud7XFFVl1Xw,600MHz NMR,奈良先端科学技術大学院大学 マテリアル先端リサーチインフラ事業,核磁気共鳴・電子スピン共鳴,,3
37,2ykLMLP65qZt7FecyKtB,600MHz NMR Spectrometer,沖縄科学技術大学院大学 Instrumental Analysis Section,NMR Spectroscopy,,3
38,FcmxgU8g4sUYO2lRELA2,600MHz NMR測定装置(libra)(液体試料専用),北海道大学,磁気共鳴装置 (Magnetic Resonance Equipment),核磁気共鳴装置(NMR) (Nuclear Magnetic Resonance (NMR) Spectrometer),3
39,akRpV7IJexq7mrpFtamx,600MHz NMR測定装置(pegasus)(液体試料専用),北海道大学,磁気共鳴装置 (Magnetic Resonance Equipment),核磁気共鳴装置(NMR) (Nuclear Magnetic Resonance (NMR) Spectrometer),3
40,EDqLXR5EI80UiV6jpwit,600MHz NMR測定装置(taurus)(液体試料専用),北海道大学,磁気共鳴装置 (Magnetic Resonance Equipment),核磁気共鳴装置(NMR) (Nuclear Magnetic Resonance (NMR) Spectrometer),3
41,IalSifcOcRYdskua0uPC,600MHz NMR装置,岡山大学 自然生命科学研究支援センター 分析計測・極低温部門 分析計測分野,分析計測分野,化学系,3
42,tCSPvZsXeOdRXZGatSkK,600MHz NMR装置,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,核磁気共鳴(NMR),,3
43,rVxiQk8NhVIF910Mlvef,600MHz NMR装置 (Varian NMR System PS600),岡山大学 自然生命科学研究支援センター 分析計測・極低温部門 分析計測分野,分析計測分野,化学系,3
44,P5eMbuAqWVyFqSoleoW2,600MHz 固体高分解能核磁気共鳴装置(固体試料専用),北海道大学,磁気共鳴装置 (Magnetic Resonance Equipment),核磁気共鳴装置(NMR) (Nuclear Magnetic Resonance (NMR) Spectrometer),3
45,RmpCQ6kKHVD5oVDCQuw5,600MHz 核磁気共鳴分光分析装置（NMR）,鳥取大学 共同利用設備,核磁気共鳴,,3
46,G8TVMRISj8JC4jJJaqEW,600MHz 溶液NMR測定装置,北海道大学,磁気共鳴装置 (Magnetic Resonance Equipment),核磁気共鳴装置(NMR) (Nuclear Magnetic Resonance (NMR) Spectrometer),3
47,Al7Orfwe4wEme47P9Ml7,600MHz核磁気共鳴装置（Bruker）,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,核磁気共鳴(NMR),,3
48,gbzQTwGlD3frLvr8yeKY,700MHz核磁気共鳴装置,東京工業大学,分析,電磁気分析装置 / 磁気共鳴装置（ＮＭＲ）,3
49,WnTf94TtQpab4SQ0MauL,750kNピン型二分力計,北海道大学,その他_HU (Others),None,3
50,UcKxvV88P05yJOZilBly,7ch電気化学測定システム BioLogicScience,東京工業大学,ライフサイエンス,- / -,3
51,P0yOxJqhZTyegxmBxmU9,"8""Si 深掘ドライエッチング装置",産業技術総合研究所,加工,,3
52,oJwN5jfplCiNYBh0P73p,800MHz NMR測定装置(hidari)(液体試料専用),北海道大学,磁気共鳴装置 (Magnetic Resonance Equipment),核磁気共鳴装置(NMR) (Nuclear Magnetic Resonance (NMR) Spectrometer),3
53,3qOpg6nYj8QD7MjuWk9d,800MHz NMR測定装置(migi)(液体試料専用),北海道大学,磁気共鳴装置 (Magnetic Resonance Equipment),核磁気共鳴装置(NMR) (Nuclear Magnetic Resonance (NMR) Spectrometer),3
54,oAGRwLd0wr2PjNC0E7xF,800MHzナローボア固体高分解能NMRシステム,物質・材料研究機構 NIMS Open Facility,分析・計測,強磁場計測,3
55,DM6MAH8xD9UZot2L7Qfx,80列CT装置 Aquilion PRIME,東京大学,研究設備,,3
56,znV7liv6heSITqaxX1jQ,8ch列処理マイクロウェルプレートウォッシャー,北海道大学,前処理装置_HU (Sample Preparation Equipment),None,3
57,c26csHzaFGc6rM2nS4zB,9T PPMS 可変温度抵抗システム,京都大学 工学部・大学院工学研究科,化学系 コアラボ,,3
58,G5FTj1jIrNHRP4V2Ubgg,ABS樹脂3Dプリンター（熱溶解積層法造形）,東京工業大学,機械工作・加工,その他の工作機械 / -,3
59,bwsF5SJi8M4g02o56Kt8,AC-Hall測定装置 Resitest 8300,京都大学 工学部・大学院工学研究科,電気系,,3
60,aOqsRUWNYIdEy2NA8bQ8,AC/DC増幅器,北海道大学,周辺設備_HU (Peripheral Equipment),None,3
61,pRSwVB58L24qci3h333T,ACQUITY UPLC M-Class,北海道大学,質量分析装置_HU (Mass Spectrometer),None,3
62,n8C3ouP58gbVeSeNqVGi,ACTA explorer,東京工業大学,ライフサイエンス,- / -,3
63,rOF6XvCOzFlTzeqiLbdY,ACレジスタンスブリッジ,北海道大学,物性測定装置_HU (Physical Property Measurement Equipment),None,3
64,5sWGzxyhJYycolpi0zSG,ADC,東京工業大学,計測・測定,電磁波・粒子線 / 放射線,3
65,pkzb2saTlO4IwO0hP7sj,AFC qEVオートマチックフラクションコレクター,北海道大学,バイオ関連分析装置_HU (Bio-related Analytical Equipment),None,3
66,aKVL7t5YH5vRS3k7dXkX,AFM-ラマン顕微分光システム,長崎大学,先端物質科学研究ユニット共用システム,分光分析,3
67,iWX78K4VyzjcsSM1LcXe,AI画像解析システム AIVIA,北海道大学,バイオ関連分析装置 (Bio-related Analytical Equipment),その他のバイオ関連分析装置 (その他のバイオ関連分析装置),3
68,O6VlTQWLFobGF4bcMbR5,AI画像解析装置 Aivia,北海道大学,周辺設備 (Peripheral Equipment),その他の周辺設備 (Other Peripheral Equipment),3
69,5GQWk0KWVKd2dU2Leray,AKTA,長崎大学,先端創薬イノベーションセンター,試料作製,3
70,nwZn18177BCQ72fiGX8e,AKTA pure 25M1 液体クロマトグラフィ,長崎大学,水産・環境科学総合研究科共用システム,分離分析,3
71,pqtKmcXbCged9dfj4qfN,AKTA start,北海道大学,クロマトグラフ_HU (Chromatography Equipment),None,3
72,LfQ5eNi6C8EzyzSmEA3g,AKTA start本体及びFrac30,北海道大学,バイオ関連分析装置_HU (Bio-related Analytical Equipment),None,3
73,7RWMcayAYaF8XVPcArug,ALD装置(Al2O3用),東京工業大学,半導体・MEMS加工,- / -,3
74,78M1gzNGkeDXr7VEBGdW,APOE遺伝型決定,新潟大学 脳研究所,その他,遺伝子解析,3
75,Kc3W0sx8A85LJcjIkkzP,AR-NE1A X-Ray Diffraction and Mössbauer Spectroscopy at High Pressure,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
76,rOLkX14fp4qpGkU8WFbu,AR-NE3A Macromolecular Crystallography for Drug Design,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
77,T2JLeaGFMX0o5whDVNFR,AR-NE5C High-pressure and High-temperature X-ray Diffraction (MAX-80),高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
78,H7SYGfhZ1ej00NOsbubk,AR-NE7A X-ray Imaging and X-ray Diffraction Experiments at High Pressure,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
79,YSjlhnuxeaWYFPZZHq5r,AR-NW10A High-energy XAFS,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
80,0HPeIyJls2Pk3uku3v5m,AR-NW12A Macromolecular Crystallography,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
81,0GGo2oV9YxDZFO2bNoNb,AR-NW14A Time-resolved Diffraction and Scattering,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
82,F6OO1z5Gt6xwbFfFSFzk,"AR-NW2A Time-resolved XAFS, X-ray Microscopy",高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
83,sSNrlEfxQmVOQySHmVSu,AR-SE2A Test Beam Line (in Japanese),高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
84,S9mncEtWKTwSPbKeCkBH,ARVO 1420 マルチプレートリーダー,長崎大学,先端創薬イノベーションセンター,試料作製,3
85,ebbkyu2UpbnyWto5EE3u,ARVO X4 システム 2030-0040J,北海道大学,分光分析装置_HU (Spectroscopic Analysis Equipment),None,3
86,1dFofostq7qUgoDK2gzm,ASTEC社 低酸素インキュベーター,新潟大学 医学部医学科,その他,恒温・高温・低温装置,3
87,wSVlVw8n9DbViNGic2cU,AVANCE 700MHzデジタルNMR装置 (BRUKER AV700),広島大学 自然科学研究支援開発センター 機器共用・分析部門,核磁気共鳴装置(NMR),,3
88,K5itvk4ebdgMwqF3xixS,Agilent社2100バイオアナライザー,新潟大学 医学科研究推進センター,DNA関連分析,,3
89,zpb0S6ZkfXfwdc1aX5OC,All-in-one 蛍光顕微鏡,鳥取大学 共同利用設備,顕微鏡,,3
90,Aqyv2DjE3gu3pZcK9JSc,Alphaテクノロジー測定機器,山口大学 リサーチファシリティマネジメントセンター,光分析装置,一般全学共用機器,3
91,xv5YkoNRLbxwagwCzo1B,Alveo U200 アクセラレータカード,北海道大学,周辺設備_HU (Peripheral Equipment),None,3
92,WF0I8drPxChTLIvteZs3,Amersham ImageQuant 800 Fluorシステム,北海道大学,その他_HU (Others),None,3
93,Mo87oYBNyjrwFRPxMpdw,ArF液浸レジスト塗布現像装置,産業技術総合研究所,,,3
94,a3jQyTHUy3NM2TsM2SON,ArF液浸露光装置,産業技術総合研究所,,,3
95,2Tedq1g4clVkE8VNa9mK,ArrayScan 細胞イメージアナライザー VTI HCS Reader,東京大学,研究設備,,3
96,CHfCCdd17k06ISEndXDm,Arイオン研磨装置,北海道大学,微細加工・表面加工装置 (Microfabrication & Surface Processing Equipment),その他の微細加工・表面加工装置 (Other Microfabrication & Surface Processing System),3
97,cELkFdlPg3MJK5XBwL1Y,Automated Peptide Synthesizer,沖縄科学技術大学院大学 Instrumental Analysis Section,Bio Sample Preparation Tool,,3
98,vrwQviE14zvZpPF70v1j,AxoPatch system,鳥取大学 共同利用設備,計測・測定,,3
99,Tp56FduDlb81wXRtcwCJ,B-Hアナライザ,長崎大学,先端物質科学研究ユニット共用システム,物性測定,3
100,EMLsPGzUlonPHQVNObMP,BD FACS Aria Ⅱ セルソーター,北海道大学,バイオ関連分析装置_HU (Bio-related Analytical Equipment),None,3
101,Fam8TGaD654P27MS4vPz,BD FACSAria Fusion,東京医科歯科大学,研究設備,,3
102,8sUeZZ9gVIQWbui8yzD0,BD FACSAriaIII,東京医科歯科大学,研究設備,,3
103,IhIDkcJ44uZX3TeAJRuq,BD FACSCanto II,東京医科歯科大学,研究設備,,3
104,NSVIHN5xdXFgp2qFJNLR,BD FACSLyric,東京医科歯科大学,研究設備,,3
105,bWjB5sTvjTtiE1LYeOPd,BD FACSLyric フローサイトメーター,長崎大学,先端創薬イノベーションセンター,分離分析,3
106,Kmhu9YyA9DSY7IpNTJaw,BD Rhapsody,東京医科歯科大学,研究設備,,3
107,KKzr5qh2MuRT2AO13c5j,BD Rhapsodyシングルセル解析システム,北海道大学,バイオ関連分析装置_HU (Bio-related Analytical Equipment),None,3
108,gqJSl62maOHtzQW0w15k,BIACORE 分子間相互作用解析装置 BIACORE T100,東京大学,研究設備,,3
109,3ewIkcYJb9W1s3vBL5fN,BIN 電源,東京工業大学,計測・測定,電気計測 / 電源関連機器,3
110,Ii05WKaBWi6Roq6I8W5u,BIN電源,東京工業大学,計測・測定,電気計測 / 電源関連機器,3
111,ELhb2W3bZp4I3HfvKwAn,BL-10A X-ray Diffraction and Scattering,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
112,uf111sF3iP8JxRHalUDX,BL-10C Small-angle X-ray Scattering,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
113,70F87s3wVq64tRbIVyib,BL-11A R&D Beamline,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
114,L5Cu8Z3re24xzYBldR7O,BL-11B R&D Beamline,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
115,wBBQUmIGmQdfa5KcMrLr,BL-12A Soft and Tender X-ray Beamline,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
116,Ful88Xj1wmb3xDQ8JkGr,BL-12C High-throughput XAFS,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
117,PifjDbMhXZfnXrssJh71,BL-13A/B Variable Polarization VUV and Soft X-ray Spectroscopy,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
118,Y0BsiOcywxL35Ru9HrVJ,BL-14A Single Crystal Structure Analysis/Detector Development,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
119,1D13S9JXQOogLw1QYEme,BL-14B High-precision X-ray Optics,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
120,k6YJrPUTldgSwG6seNxN,BL-14C X-ray Imaging and Multi-purpose Experiments,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
121,HiK1L2YKn0kOg2bMyzdx,BL-15A1 Semi-microbeam XAFS,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
122,v8QFac0kgTCM4bh8KiX2,BL-15A2 High-brilliance Small-angle X-ray Scattering,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
123,r3bmVBGGHn0yAhOOddoN,BL-16A Variable Polarization Soft X-ray Spectroscopy,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
124,Pw9LlijcwiVujkQAAdCz,BL-17A Macromolecular Crystallography,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
125,PyIwe2xwd3q65h4ajmtC,"BL-18B DST, India Versatile Hard X-ray Station",高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
126,S95YPkBKTW3vOYUAUCF0,BL-18C High Pressure X-ray Powder Diffraction (DAC),高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
127,1nM2bIzyZv3ZJtWu4q9F,BL-19A/B Soft X-ray Microscopy (STXM) and Spectroscopy,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
128,ITz4cFyc2bBejsNRRClf,BL-1A Macromolecular Crystallography,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
129,tMXGUuOiKdCqfVSu8vlT,BL-20A VUV Spectroscopy,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
130,J1L563ofdnh8NUpGwqOw,BL-20B White & Monochromatic X-ray Topography and Diffraction,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
131,x3t05dExs2NENLbNUQt9,"BL-27A Radiation Biology, Soft X-ray Spectroscopy for Radioactive Samples",高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
132,2ZaLQoMamWsp7gbzYE1D,"BL-27B Radiation Biology, XAFS for Radioactive Samples",高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
133,PZG8lF8dppYoluiLuWyo,BL-28A/B Variable Polarization VUV and Soft X-ray Spectroscopy,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
134,iSij0BPjXtKuVkKqj4RU,BL-2A/B Multiple Undulator beamline for Spectroscopic Analysis of Surface and HeteroInterface : MUSASHI and Photoelectron Spectroscopy Station,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
135,AYvp4hhbDVW9BxOhw3Xy,BL-3A X-ray Diffraction Experiment under Extreme Condition,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
136,yd0txNPcmcOAGWOswMNE,BL-3B VUV Photoelectron Spectroscopy,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
137,ya6aeU2i9u227BpeKUv4,BL-3C X-ray Optics/White X-ray Magnetic Diffraction,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
138,iWBARFlMTog3QAEBHXsn,BL-4A Trace Element Analysis/X-ray Microbeam,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
139,fvODCbH0rMWvR8cVsOtY,BL-4B2 Powder Diffraction,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
140,Xp2NtP9hIvZgZKSdHZF8,BL-4C X-ray Diffraction Experiment,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
141,8pu4MDD2IQh5ZMzASqii,BL-5A Macromolecular Crystallography,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
142,7oVv0cAl2nunvBjc2Uce,BL-6A Small-angle X-ray Scattering,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
143,IOTSbe44ur7btjrNJ88b,BL-6C X-ray Diffraction and Scattering,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
144,uvmCRNuMHUwQzW4hcOfD,"BL-7A RCS, Univ. Tokyo Soft X-ray Spectroscopy",高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
145,gVqDcdyiLQ7TmFzES2eY,BL-7C Multi-purpose Hard X-ray Experiment,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
146,9EhohLTGhII6MuXCa6A6,BL-8A Powder/Single-crystal Diffraction under Extreme Conditions,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
147,QZHTzyqXIEwffeIHPAEj,BL-8B Powder/Single-crystal Diffraction under Extreme Conditions,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
148,BLRnZ5v6ckdDjScLg59Y,BL-9A High-intensity and Low-energy XAFS,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
149,XXTHJhUdi7F5AC5RnMSS,BL-9C in-situ XAFS,高エネルギー加速器研究機構 Photon Factory,ビームライン,,3
150,dSCUo67UKaxQwZNxxoKK,BSL2安全キャビネット,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,その他,,3
151,cjHvP9g0eXazEtrib7K8,Ball-bearing cell homogenizer (isobiotec),お茶の水女子大学 共通機器センター,その他の機器,,3
152,97TYuvni2G36owVbyBbJ,Benchwork Automation System,沖縄科学技術大学院大学 Instrumental Analysis Section,Bio Sample Preparation Tool,,3
153,XpzDlez2GqOBbzD1ddr1,Biacore,沖縄科学技術大学院大学 Instrumental Analysis Section,Other Analytical Instrument,,3
154,UjZ7aMnXJLcWoq8BSZez,BiacoreX100 S/N 1883246,東京大学,研究設備,,3
155,7iT9EWpsxMlihOO2an8n,Bio-Plex200システム Bio-Plex200システム,東京大学,研究設備,,3
156,UOczKdncl95HcGM9Bfny,BioLCシステム(32024004),帯広畜産大学 産学連携センター 共同利用設備ステーション,共同利用設備ステーション,測定・分析装置,3
157,a6O9Ed2vhRZWBHSeHbw5,Bortexミキサー,神戸大学 研究基盤センター 機器分析部門,機器分析部門,試料作製室,3
158,Vlcul0AalGd01n6H0jiC,Bragg edge用中性子ターゲット,北海道大学,その他_HU (Others),None,3
159,OtC9UWk3xC5rTV2UOt3i,Bruker AVANCE 600,分子科学研究所 機器センター,研究設備,,3
160,OZKsUUnU7t8HPQ40AsAs,Bruker BioSpin・AVANCE III 500,北陸先端科学技術大学院大学 ナノマテリアルテクノロジーセンター,核磁気共鳴装置(NMR),,3
161,ledcQcGbxaIiFIyhcQv2,Bruker BioSpin・AVANCE III 800,北陸先端科学技術大学院大学 ナノマテリアルテクノロジーセンター,核磁気共鳴装置(NMR),,3
162,suQuqSk9FTyzShovvOcD,Bruker BioSpin・AVANCE NEO 400,北陸先端科学技術大学院大学 ナノマテリアルテクノロジーセンター,核磁気共鳴装置(NMR),,3
163,o6MNAsoWXxpPaLPBIu5P,Bruker BioSpin・AVANCE NEO 400WB,北陸先端科学技術大学院大学 ナノマテリアルテクノロジーセンター,核磁気共鳴装置(NMR),,3
164,ndD4IzLllDSYcv8LtQP2,Bruker Biospin AVANCE III 600 ＋ クライオプローブ,岐阜大学 高等研究院 科学研究基盤センター 機器分析分野,核磁気共鳴装置（FT-NMR）,,3
165,hmG5THrAFvT6apo6hVn7,Bruker Biospin EMXmicro(医学地区),岐阜大学 高等研究院 科学研究基盤センター 機器分析分野,電子スピン共鳴装置（ESR）,,3
166,zkaWE4nGRhlXcnHyj2oS,Bruker Daltonics・scimaX,北陸先端科学技術大学院大学 ナノマテリアルテクノロジーセンター,質量分析装置,,3
167,w7hUomFwpPssdd6Kl7p1,Bruker Daltonics・ultrafleXtreme,北陸先端科学技術大学院大学 ナノマテリアルテクノロジーセンター,質量分析装置,,3
168,aO0CNax40GR5eQyhWD4M,Bruker E500,分子科学研究所 機器センター,研究設備,,3
169,7PVZe4DEfPwzr6kvLAtb,Bruker E580,分子科学研究所 機器センター,研究設備,,3
170,OWK9EJPLhQpNmo1cKQSP,Bruker E680,分子科学研究所 機器センター,研究設備,,3
171,KVPfY14OBGL5Ug2v0Tms,Bruker EMX Plus,分子科学研究所 機器センター,研究設備,,3
172,Mzmlv9w24hD0Ln8CqOcY,BrukerNMR400MHz,新潟大学 共用設備基盤センター,"磁気共鳴分析 (NMR, ESRなど)",NMR,3
173,5tdhmWXXPzD98RRUmlpZ,BrukerNMR700MHz,新潟大学 共用設備基盤センター,"磁気共鳴分析 (NMR, ESRなど)",NMR,3
174,NvsHyc6rDmCiCQ9ksEeh,C-Vプロファイラ,東京工業大学,半導体・MEMS加工,前工程装置 / -,3
175,htHNWxhzwCProHJtQTLV,C1000 Touch サーマルサイクラー,東京医科歯科大学,研究設備,,3
176,FoyXz3PXVVLHptTd7hKl,C1000Touchサーマルサイクラー,北海道大学,バイオ関連分析装置_HU (Bio-related Analytical Equipment),None,3
177,MDm25lNyYEktskn3dNL8,C1システム,東京大学,研究設備,,3
178,9263xP5iOeU5OUMWSXtG,CADデータ連動３次元機能融合デバイス評価用前処理システム Xvision200TB,東京大学,研究設備,,3
179,kwXUlbrUohCitelUXq0E,CAMACクレート電源,東京工業大学,計測・測定,電気計測 / 電源関連機器,3
180,qTRAGvfWp9tGeUOCi7U8,CAMACミニクレート電源,東京工業大学,計測・測定,電気計測 / 電源関連機器,3
181,0CvVXwXOIbKS51h0f4Rk,CCDマルチICP発光分光分析装置,九州大学 中央分析センター(筑紫地区),,,3
182,BkYQtVoBjctC9VrZi0wu,CCDマルチICP発光分光分析装置,九州大学 中央分析センター部局管理装置(筑紫地区),,,3
183,ELhhAoigVZc2vCrwxYO0,CCDマルチICP発光分光分析装置,九州大学 中央分析センター(伊都地区),,,3
184,gItLNF9NoN4wdx6w95cu,CCDマルチICP発光分光分析装置,九州大学 工学研究院部局管理装置,,,3
185,eBwIJ5JNVKnJ7GMIX8Yt,CCD単結晶自動X線解析装置,佐賀大学 総合分析実験センター,研究設備,全学1,3
186,NMiNhaOLzcfHsdzdj9OL,CCD極微小単結晶自動X線構造解析装置,岡山大学 自然生命科学研究支援センター 分析計測・極低温部門 分析計測分野,分析計測分野,化学系 物理学系 (生物学系),3
