eqnet-3363	"フーリエ変換赤外分光光度計(FT-IR)JASCO(FT/IR -6800)"
eqnet-1058	"フーリエ変換赤外分光光度計(Thermo Scientific・Nicolet IS50FT-IR)"
eqnet-2228	"フーリエ変換赤外分光光度計(パーキンエルマー Spectrum100)"
eqnet-3010	"フーリエ変換赤外分光光度計(島津製作所・IR Prestige-21)"
eqnet-1208	"フーリエ変換赤外分光光度計(日本分光 FT/IR-4100)"
eqnet-2123	"フーリエ変換赤外分光光度計(日本分光 FT/IR-6100)"
eqnet-3655	"フーリエ変換赤外分光光度計(赤外顕微鏡付) 日本分光 FT/IR 6100"
eqnet-4414	"フーリエ変換赤外分光光度計装置(ATR・IR) Thermo Fisher Scientific NicoletiN10"
kFup7X72pj3sskHN8JeV	"フーリエ変換赤外分光光度計（FT-IR)"
eqnet-3824	"フーリエ変換赤外分光分析装置(Perkin Elmer Frontier FT IR)"
eqnet-2087	"フーリエ変換赤外分光測定(FT-IR)"
eqnet-2718	"フーリエ変換赤外分光装置(日本分光・6100FV MCT-600)"
eqnet-3494	"フーリエ変換赤外線吸収分光光度計 (FT-IR) (日本分光 FT/IR-6300, IRT-7000)"
LI2W98rMmuNl5hVUynim	"ブルーピッピン (sage science BluePippin)"
z1cJqARi9yUrk6m7Jvkv	"プラズマCVD装置"
eqnet-4198	"プラズマアッシャー(PR500) ヤマト科学(PR500)"
eqnet-4200	"プラズマアッシャー(V-1000TS) ヤマト科学(V1000-TS)"
eqnet-1169	"プラズマエッチャー"
eqnet-2656	"プラズマ・ガス凝縮クラスター堆積装置(日本ビーテック 特別仕様)"
